Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Cust_Satisfaction_Score
708082083,Blue,200,0,87,01-01-2023,Week-1,Q1,2023,3544.0,1661,15149,111,0.469,Chip ,Travel,4393.21,0,24,F,1,Uneducated,Single,FL,91750,no,yes,no,unknown,Businessman,202326,3
708083283,Blue,445,1,108,01-01-2023,Week-1,Q1,2023,3421.0,2517,992,21,0.736,Swipe ,Entertainment,69.44,0,62,F,0,Unknown,Married,NJ,91750,no,no,no,cellular,Selfemployeed,5225,2
708084558,Blue,140,0,106,01-01-2023,Week-1,Q1,2023,8258.0,1771,1447,23,0.214,Chip ,Bills,202.58,0,32,F,1,Unknown,Married,NJ,91750,yes,no,no,unknown,Selfemployeed,14235,2
708085458,Blue,250,1,150,01-01-2023,Week-1,Q1,2023,1438.3,0,3940,82,0.0,Online ,Grocery,236.4,0,38,M,2,Uneducated,Single,NY,91750,no,no,no,cellular,Blue-collar,45683,1
708086958,Blue,320,1,106,01-01-2023,Week-1,Q1,2023,3128.0,749,4369,59,0.239,Swipe ,Fuel,1004.87,1,48,M,4,Graduate,Single,TX,91750,yes,yes,no,cellular,Businessman,59279,1
708095133,Blue,100,0,94,01-01-2023,Week-1,Q1,2023,33304.0,1833,1448,29,0.055,Swipe ,Bills,275.12,0,33,F,1,High School,Single,NY,91750,no,yes,no,cellular,Selfemployeed,14254,3
708098133,Blue,225,1,75,01-01-2023,Week-1,Q1,2023,2834.0,1418,1598,39,0.5,Swipe ,Bills,159.8,1,34,F,3,Graduate,Single,CA,91750,yes,no,no,telephone,Selfemployeed,14975,2
708099183,Blue,400,1,75,01-01-2023,Week-1,Q1,2023,5723.0,1873,2732,63,0.327,Swipe ,Grocery,409.8,0,34,F,2,Uneducated,Single,CA,91750,no,no,no,cellular,Retirees,31982,2
708100533,Blue,200,1,64,01-01-2023,Week-1,Q1,2023,2679.0,2277,4943,85,0.85,Chip ,Food,988.6,0,48,M,2,High School,Married,NJ,91750,yes,no,no,telephone,Businessman,86668,2
708103608,Platinum,95,1,80,01-01-2023,Week-1,Q1,2023,11898.0,2517,15798,128,0.212,Chip ,Grocery,3791.52,0,53,F,1,Graduate,Married,NJ,91750,yes,yes,no,cellular,Businessman,223196,1
708104658,Blue,455,1,118,01-01-2023,Week-1,Q1,2023,1438.3,890,2928,48,0.619,Swipe ,Fuel,732.0,0,31,F,0,Post-Graduate,Single,CA,91750,no,yes,no,telephone,Businessman,33625,2
708108333,Blue,485,0,86,01-01-2023,Week-1,Q1,2023,5590.0,0,1507,32,0.0,Swipe ,Entertainment,150.7,0,34,F,4,Graduate,Single,NY,91750,no,no,no,cellular,Selfemployeed,14975,3
708112008,Blue,440,1,86,01-01-2023,Week-1,Q1,2023,23510.0,1049,1661,35,0.045,Swipe ,Grocery,465.08,0,51,F,2,Graduate,Single,NJ,91750,yes,yes,no,cellular,Selfemployeed,14975,2
708113208,Blue,300,1,149,01-01-2023,Week-1,Q1,2023,1688.0,0,4375,69,0.0,Chip ,Fuel,525.0,0,36,M,1,High School,Single,NJ,91750,yes,no,no,telephone,White-collar,59416,3
